Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,57.63,5.6622,0.7553,6.4297,1.5651097043319564,510.26,19.34,31.790000000000003,0.1354,11.58,0.9590702374936839,19.7133,215.86599999999996,19.34,19.7133,0.9586162226480275,31.424,0.1354,11.58,90.41095890410959,96.31729036547176,83.78995433789954,76.68188736681887,50.0,83.1500638569604,0.9726027397260274,1.0,0.9178082191780822,0.8493150684931506,A+,A+,A-,B+,sonocoproductsco
EIX,Edison International,Utilities,Electric Utilities,69.7,8.5907,1.5134,7.6456,1.7230638398860851,105.18,4.41,19.3,0.2837,5.86,0.8805611222444889,35.8674,105.18,4.41,35.8674,0.8805611222444889,19.3,0.2837,5.86,95.90643274853801,63.12463851937536,88.30409356725146,88.13157894736841,50.0,81.30387507229612,1.0,0.7017543859649122,0.9473684210526315,0.9298245614035088,A+,B,A,A-,edisoninternational
CALM,Cal-Maine Foods Inc,Consumer Staples,Packaged Foods & Meats,82.24,3.357,0.9187,2.2554,1.557490213605692,84.41,36.6,44.65,0.3428,44.65,0.18942731277533026,-9.5866,69.444,19.12049999999996,-9.5866,0.18942731277533026,44.65,0.3428,32.58332599999996,85.58558558558559,98.31073801662036,93.91891891891892,39.60511893689308,50.0,77.45929751682881,0.9459459459459459,1.0,0.9864864864864865,0.3783783783783784,A,A+,A+,C-,calmainefoodsinc
INCY,Incyte Corp,Health Care,Biotechnology,102.99,16.0059,4.0057,11.1978,3.955388107335845,2749.07,21.22,29.15,0.29460000000000003,28.910000000000004,0.8416482206708665,44.5068,255.21149999999955,21.22,44.5068,0.8416482206708665,29.15,0.29460000000000003,28.910000000000004,71.13613261396513,82.22094686135782,86.98630136986303,79.47488584474885,50.0,76.86977503717839,0.8163265306122449,0.9319727891156463,0.8979591836734694,0.8027210884353742,B+,A,B+,B+,incytecorp
NEM,Newmont Corporation,Materials,Gold,124.69,18.9327,6.3279,11.0789,4.695449153659317,26.06,26.59,22.720000000000002,0.4537,18.34,0.8911906033101976,162.45,26.06,26.5,114.93471999999979,0.8911906033101976,22.720000000000002,0.4537,16.645999999999997,53.42465753424657,87.0362219263967,93.37899543378995,88.4184308841843,50.0,76.79184380412534,0.589041095890411,0.9726027397260274,0.9863013698630136,0.9726027397260274,C+,A+,A+,A+,newmontcorporation
CCK,Crown Holdings Inc,Materials,Paper & Plastic Packaging Products & Materials,114.08,17.2428,1.0291,9.0486,4.314478919262363,78.94,4.78,25.45,0.1244,8.0,0.9556057185854027,27.7778,78.94,4.78,27.7778,0.9556057185854027,25.45,0.1244,8.0,80.36529680365297,81.10446298920556,73.0593607305936,81.67427701674276,50.0,75.9119123847513,0.9041095890410958,0.8493150684931506,0.7534246575342466,0.9178082191780822,A-,B+,B,A-,crownholdingsinc
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,84.75,3.6116,1.6269,2.8706,4.618427936175778,265.64,4.12,107.19000000000001,0.1825,39.14,0.8320438426821407,5.9722,189.555,4.12,5.9722,0.8320438426821407,107.19000000000001,0.1825,39.14,80.571334797647,76.32174972686781,87.49147920927062,67.36332651670075,50.0,75.75271875044312,0.8773006134969326,0.8588957055214724,0.9631901840490797,0.6625766871165644,B+,B+,A,B-,boydgamingcorp
JOE,St Joe Co,Real Estate,Real Estate Development,70.7,39.2518,8.4025,25.0436,5.693485911239602,53.54,26.89,14.180000000000001,0.2712,7.8,0.9621897764182776,47.4145,53.54,25.3525,41.147475,0.9621897764182776,14.0425,0.2321,7.6775,27.777777777777782,100.0,100.0,93.65079365079364,50.0,75.67460317460318,0.5,1.0,1.0,1.0,C,A+,A+,A+,stjoeco
PAHC,Phibro Animal Health Corp,Health Care,Pharmaceuticals,51.08,23.0446,1.4493,12.7429,7.2474460839954595,373.82,32.39,30.81,0.1153,8.95,0.8699551569506727,97.8311,255.21149999999955,32.39,76.602725,0.8699551569506727,30.81,0.1153,8.95,74.72984596137304,94.54951055978452,62.78538812785388,86.89146469968388,50.0,75.66700357420041,0.8503401360544217,0.9863945578231292,0.6428571428571429,0.9047619047619048,B+,A+,B-,A-,phibroanimalhealthcorp
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,95.82,10.6083,2.1717,5.5807,3.265436874013843,31.4,12.59,28.18,0.3153,17.53,0.7674481271894366,15.1406,31.4,12.59,15.1406,0.7674481271894366,28.18,0.3153,16.645999999999997,73.05936073059361,86.71988663202646,94.29223744292237,54.72876712328767,50.0,75.12763029444183,0.8424657534246576,0.958904109589041,1.0,0.4931506849315068,B+,A,A+,C,cfindustriesholdingsinc
